virus,component,filter,edit_distance,count,assay
Human_Metapneumovirus,left_primer,all,3,49,2
Human_Metapneumovirus,right_primer,all,0,806,2
Human_Metapneumovirus,right_primer,all,1,82,2
Human_Metapneumovirus,right_primer,all,2,49,2
Human_Metapneumovirus,right_primer,all,3,2,2
Human_Metapneumovirus,left_primer,recent_usa,0,29,2
Human_Metapneumovirus,left_primer,recent_usa,1,2,2
Human_Metapneumovirus,left_primer,recent_usa,3,6,2
Human_Metapneumovirus,right_primer,recent_usa,0,31,2
Human_Metapneumovirus,right_primer,recent_usa,2,6,2
Human_Metapneumovirus,probe,all,0,853,2
Human_Metapneumovirus,probe,all,1,117,2
Human_Metapneumovirus,probe,all,2,358,2
Human_Metapneumovirus,probe,all,3,565,2
Human_Metapneumovirus,probe,recent_usa,0,28,2
Human_Metapneumovirus,probe,recent_usa,1,4,2
Human_Metapneumovirus,probe,recent_usa,2,16,2
Human_Metapneumovirus,probe,recent_usa,3,71,2
